Name,Team,OVR,Position2,Wins,Year
Brandin Cooks,Patriots,86,WR,NA,2018
Brandon Allen,Jaguars,65,QB,3,2017
Brandon Allen,Jaguars,63,QB,NA,2018
Brandon Bair,Eagles,69,DL,7,2016
Brandon Bair,Eagles,68,DL,10,2015
Brandon Bair,Raiders,68,DL,4,2014
Brandon Bair,Chiefs,67,DL,2,2013
Brandon Banks,Redskins,65,WR,10,2013
Brandon Barden,Titans,62,WR,7,2014
Brandon Bolden,Patriots,72,HB,14,2017
Brandon Bolden,Patriots,73,HB,12,2016
Brandon Bolden,Patriots,73,HB,12,2015
Brandon Bolden,Patriots,72,HB,12,2014
Brandon Bolden,Patriots,62,HB,12,2013
Brandon Bolden,Patriots,72,HB,NA,2018
Brandon Bostick,Jets,69,WR,5,2017
Brandon Bostick,Vikings,71,WR,11,2016
Brandon Bostick,Packers,70,WR,12,2015
Brandon Boykin,Bears,71,DB,3,2017
Brandon Boykin,Eagles,82,DB,7,2016
Brandon Boykin,Eagles,83,DB,10,2015
Brandon Boykin,Eagles,72,DB,10,2014
Brandon Boykin,Eagles,66,DB,4,2013
Brandon Boykin,Ravens,71,DB,NA,2018
Brandon Brooks,Eagles,80,OL,7,2017
Brandon Brooks,Texans,87,OL,9,2016
Brandon Brooks,Texans,84,OL,9,2015
Brandon Brooks,Texans,68,OL,2,2014
Brandon Brooks,Texans,67,OL,12,2013
Brandon Brooks,Eagles,89,OL,NA,2018
Brandon Browner,Seahawks,73,DB,10.5,2017
Brandon Browner,Saints,82,DB,7,2016
Brandon Browner,Patriots,86,DB,12,2015
Brandon Browner,Seahawks,88,DB,13,2014
Brandon Browner,Seahawks,84,DB,11,2013
Brandon Burks,Packers,61,HB,10,2017
Brandon Burton,Vikings,68,DB,5.5,2014
Brandon Burton,Vikings,66,DB,10,2013
Brandon Carr,Cowboys,76,DB,13,2017
Brandon Carr,Cowboys,80,DB,4,2016
Brandon Carr,Cowboys,85,DB,12,2015
Brandon Carr,Cowboys,88,DB,8,2014
Brandon Carr,Cowboys,89,DB,8,2013
Brandon Carr,Ravens,79,DB,NA,2018
Brandon Chubb,Rams,60,LB,4,2017
Brandon Coleman,Saints,69,WR,7,2017
Brandon Coleman,Saints,63,WR,7,2016
Brandon Coleman,Saints,63,WR,7,2015
Brandon Coleman,Saints,72,WR,NA,2018
Brandon Copeland,Lions,64,LB,9,2017
Brandon Copeland,Lions,66,DL,NA,2018
Brandon Coutu,Jaguars,63,FALSE,2,2013
Brandon Deaderick,Texans,69,DL,9,2016
Brandon Deaderick,Saints,65,DL,7,2015
Brandon Deaderick,Jaguars,73,DL,4,2014
Brandon Deaderick,Patriots,75,DL,12,2013
Brandon Dixon,Saints,65,DB,7,2017
Brandon Dixon,Buccaneers,67,DB,6,2016
Brandon Dixon,Buccaneers,67,DB,2,2015
Brandon Doughty,Dolphins,63,QB,10,2017
Brandon Doughty,Dolphins,61,QB,NA,2018
Brandon Dunn,Texans,68,DL,9,2017
Brandon Dunn,Bears,61,DL,6,2016
Brandon Dunn,Bears,62,DL,5,2015
Brandon Dunn,Texans,68,DL,NA,2018
Brandon Fields,Dolphins,82,FALSE,6,2016
Brandon Fields,Dolphins,90,FALSE,8,2015
Brandon Fields,Dolphins,92,FALSE,8,2014
Brandon Fields,Dolphins,89,FALSE,7,2013
Brandon Flowers,Chargers,78,DB,5,2017
Brandon Flowers,Chargers,89,DB,4,2016
Brandon Flowers,Chargers,89,DB,9,2015
Brandon Flowers,Chiefs,94,DB,11,2014
Brandon Flowers,Chiefs,93,DB,2,2013
Brandon Fusco,Vikings,72,OL,8,2017
Brandon Fusco,Vikings,82,OL,11,2016
Brandon Fusco,Vikings,84,OL,7,2015
Brandon Fusco,Vikings,76,OL,5.5,2014
Brandon Fusco,Vikings,70,OL,10,2013
Brandon Fusco,49ers,70,OL,NA,2018
Brandon Ghee,Bengals,70,DB,12,2016
Brandon Ghee,Bengals,68,DB,11,2014
Brandon Ghee,Bengals,68,DB,10,2013
Brandon Gibson,Patriots,73,WR,12,2016
Brandon Gibson,Dolphins,74,WR,8,2015
Brandon Gibson,Dolphins,79,WR,8,2014
Brandon Gibson,Rams,74,WR,7.5,2013
Brandon Graham,Eagles,92,DL,7,2017
Brandon Graham,Eagles,86,LB,7,2016
Brandon Graham,Eagles,82,LB,10,2015
Brandon Graham,Eagles,76,LB,10,2014
Brandon Graham,Eagles,73,DL,4,2013
Brandon Graham,Eagles,95,DL,NA,2018
Brandon Hardin,Bears,70,DB,8,2014
Brandon Hardin,Bears,70,DB,10,2013
Brandon Harris,Dolphins,71,DB,10,2017
Brandon Harris,Titans,73,DB,3,2016
Brandon Harris,Titans,73,DB,2,2015
Brandon Harris,Texans,71,DB,2,2014
Brandon Harris,Texans,70,DB,12,2013
Brandon Hepburn,Cowboys,68,LB,13,2017
Brandon Hepburn,Eagles,70,LB,7,2016
Brandon Hogan,Panthers,67,DB,7,2013
Brandon Hughes,Eagles,69,DB,10,2014
Brandon Hughes,Eagles,65,DB,4,2013
Brandon Jackson,Browns,71,HB,4,2014
Brandon Jackson,Browns,71,HB,5,2013
Brandon Jacobs,49ers,81,HB,11.5,2013
Brandon Jenkins,Redskins,64,LB,3,2014
Brandon Johnson,Steelers,71,LB,8,2013
Brandon Keith,Vikings,74,OL,5.5,2014
Brandon King,Colts,64,DB,11,2013
Brandon King,Patriots,62,DB,NA,2018
Brandon LaFell,Bengals,77,WR,6.5,2017
Brandon LaFell,Patriots,83,WR,12,2016
Brandon LaFell,Patriots,84,WR,12,2015
Brandon LaFell,Panthers,77,WR,12,2014
Brandon LaFell,Panthers,74,WR,7,2013
Brandon LaFell,Bengals,82,WR,NA,2018
Brandon Linder,Jaguars,77,OL,3,2017
Brandon Linder,Jaguars,87,OL,5,2016
Brandon Linder,Jaguars,79,OL,3,2015
Brandon Linder,Jaguars,85,OL,NA,2018
Brandon Lindsey,Steelers,53,LB,8,2013
Brandon Lloyd,49ers,76,WR,8,2015
Brandon Lloyd,Patriots,88,WR,12,2013
Brandon Magee,Buccaneers,67,LB,2,2015
Brandon Marshall,Broncos,90,LB,9,2017
Brandon Marshall,Jets,89,WR,5,2017
Brandon Marshall,Broncos,84,LB,12,2016
Brandon Marshall,Jets,89,WR,10,2016
Brandon Marshall,Bears,91,WR,5,2015
Brandon Marshall,Broncos,82,LB,12,2015
Brandon Marshall,Bears,95,WR,8,2014
Brandon Marshall,Jaguars,65,LB,4,2014
Brandon Marshall,Bears,91,WR,10,2013
Brandon Marshall,Jaguars,63,LB,2,2013
Brandon Marshall,Broncos,86,LB,NA,2018
Brandon Marshall,Giants,85,WR,NA,2018
Brandon McGee,Rams,69,DB,7,2016
Brandon McGee,Rams,70,DB,6,2015
Brandon McGee,Rams,67,DB,7,2014
Brandon McKinney,Colts,71,DL,11,2014
Brandon McKinney,Colts,71,DL,11,2013
Brandon McManus,Broncos,82,FALSE,9,2017
Brandon McManus,Broncos,72,FALSE,12,2016
Brandon McManus,Broncos,70,FALSE,12,2015
Brandon McManus,Broncos,80,FALSE,NA,2018
Brandon Mebane,Chargers,80,DL,5,2017
Brandon Mebane,Seahawks,86,DL,10,2016
Brandon Mebane,Seahawks,90,DL,12,2015
Brandon Mebane,Seahawks,85,DL,13,2014
Brandon Mebane,Seahawks,87,DL,11,2013
Brandon Mebane,Chargers,82,DL,NA,2018
Brandon Meriweather,Redskins,79,DB,4,2015
Brandon Meriweather,Redskins,78,DB,3,2014
Brandon Meriweather,Redskins,75,DB,10,2013
Brandon Moore,Jets,89,OL,6,2013
Brandon Mosley,Giants,70,OL,6,2016
Brandon Mosley,Giants,71,OL,6,2015
Brandon Mosley,Giants,67,OL,7,2014
Brandon Mosley,Giants,66,OL,9,2013
Brandon Myers,Buccaneers,72,WR,9,2017
Brandon Myers,Buccaneers,74,WR,6,2016
Brandon Myers,Buccaneers,72,WR,2,2015
Brandon Myers,Giants,81,WR,7,2014
Brandon Myers,Raiders,71,WR,4,2013
Brandon Pettigrew,Lions,74,WR,9,2017
Brandon Pettigrew,Lions,77,WR,7,2016
Brandon Pettigrew,Lions,78,WR,11,2015
Brandon Pettigrew,Lions,79,WR,7,2014
Brandon Pettigrew,Lions,84,WR,4,2013
Brandon Saine,Packers,62,HB,11,2013
Brandon Scherff,Redskins,78,OL,8.5,2017
Brandon Scherff,Redskins,80,OL,9,2016
Brandon Scherff,Redskins,86,OL,NA,2018
Brandon Shell,Jets,66,OL,5,2017
Brandon Shell,Jets,69,OL,NA,2018
Brandon Siler,Chiefs,77,LB,2,2013
Brandon Spikes,Bills,87,LB,9,2015
Brandon Spikes,Patriots,86,LB,12,2014
Brandon Spikes,Patriots,83,LB,12,2013
Brandon Stokley,Broncos,72,WR,13,2013
Brandon Tate,Bengals,71,WR,6.5,2017
Brandon Tate,Bengals,72,WR,12,2016
Brandon Tate,Bengals,73,WR,10.5,2015
Brandon Tate,Bengals,70,WR,11,2014
Brandon Tate,Bengals,73,WR,10,2013
Brandon Tate,Bills,69,WR,NA,2018
Brandon Taylor,Chargers,70,DB,9,2014
Brandon Taylor,Chargers,71,DB,7,2013
Brandon Thomas,49ers,67,OL,2,2017
Brandon Thomas,49ers,73,OL,5,2016
Brandon Thomas,49ers,73,OL,8,2015
Brandon Thomas,Lions,67,OL,NA,2018
Brandon Thompson,Bengals,67,DL,6.5,2017
Brandon Thompson,Bengals,69,DL,12,2016
Brandon Thompson,Bengals,67,DL,10.5,2015
Brandon Thompson,Bengals,66,DL,11,2014
Brandon Thompson,Bengals,66,DL,10,2013
Brandon Thompson,Bengals,67,DL,NA,2018
Brandon Underwood,Cowboys,67,DB,8,2014
Brandon Underwood,Raiders,63,DB,4,2013
Brandon Washington,Rams,72,OL,7,2016
Brandon Washington,Rams,70,OL,6,2015
Brandon Washington,Rams,61,OL,7,2014
Brandon Washington,Eagles,60,OL,4,2013
Brandon Watts,Vikings,64,LB,8,2017
Brandon Watts,Vikings,61,LB,11,2016
Brandon Watts,Vikings,60,LB,7,2015
Brandon Watts,Dolphins,62,LB,NA,2018
Brandon Weeden,Texans,72,QB,9,2017
Brandon Weeden,Cowboys,73,QB,4,2016
Brandon Weeden,Cowboys,73,QB,12,2015
Brandon Weeden,Browns,76,QB,4,2014
Brandon Weeden,Browns,74,QB,5,2013
Brandon Weeden,Texans,68,QB,NA,2018
Brandon Wegher,Panthers,67,HB,6,2017
Brandon Wilds,Jets,65,HB,NA,2018
Brandon Williams,Cardinals,66,DB,7.5,2017
Brandon Williams,Ravens,84,DL,8,2017
Brandon Williams,Seahawks,71,WR,10.5,2017
Brandon Williams,Panthers,72,WR,15,2016
Brandon Williams,Ravens,85,DL,5,2016
Brandon Williams,Panthers,72,WR,7.5,2015
Brandon Williams,Ravens,82,DL,10,2015
Brandon Williams,Ravens,64,DL,8,2014
Brandon Williams,Cardinals,57,LB,5,2013
Brandon Williams,Colts,71,WR,NA,2018
Brandon Williams,Ravens,82,DL,NA,2018
Brandon Williams,Cardinals,69,DB,NA,2018
Brandon Wilson,Bengals,64,HB,NA,2018
Brandyn Dombrowski,Chargers,72,OL,9,2014
Brandyn Dombrowski,Chargers,65,OL,7,2013
Brandyn Thompson,Redskins,65,DB,10,2013
Braxston Cave,Lions,66,OL,7,2016
Braxston Cave,Redskins,67,OL,4,2015
Braxston Cave,Browns,64,OL,4,2014
Braxton Miller,Texans,71,WR,9,2017
Braxton Miller,Texans,73,WR,NA,2018
Braylon Broughton,Saints,52,DL,7,2013
Brendan Langley,Broncos,68,DB,NA,2018
Brendon Ayanbadejo,Ravens,63,LB,10,2013
Brennan Scarlett,Texans,66,LB,NA,2018
Brennan Williams,Jaguars,60,OL,5,2016
Brennan Williams,Texans,71,OL,2,2014
Breno Giacomini,Jets,69,OL,5,2017
Breno Giacomini,Jets,78,OL,10,2016
Breno Giacomini,Jets,78,OL,4,2015
Breno Giacomini,Seahawks,77,OL,13,2014
Breno Giacomini,Seahawks,75,OL,11,2013
Breno Giacomini,Texans,69,OL,NA,2018
Brent Celek,Eagles,79,WR,7,2017
Brent Celek,Eagles,85,WR,7,2016
Brent Celek,Eagles,86,WR,10,2015
Brent Celek,Eagles,85,WR,10,2014
Brent Celek,Eagles,83,WR,4,2013
Brent Celek,Eagles,82,WR,NA,2018
Brent Grimes,Buccaneers,85,DB,9,2017
Brent Grimes,Dolphins,87,DB,6,2016
Brent Grimes,Dolphins,92,DB,8,2015
Brent Grimes,Dolphins,89,DB,8,2014
Brent Grimes,Falcons,90,DB,13,2013
Brent Grimes,Buccaneers,88,DB,NA,2018
Brent Qvale,Jets,63,OL,5,2017
Brent Qvale,Jets,69,OL,NA,2018
Brent Urban,Ravens,64,DL,8,2017
Brent Urban,Ravens,66,DL,5,2016
Brent Urban,Ravens,65,DL,10,2015
Brent Urban,Ravens,69,DL,NA,2018
Brenton Bersin,Panthers,69,WR,6,2017
Brenton Bersin,Panthers,67,WR,15,2016
Brenton Bersin,Panthers,67,WR,7.5,2015
Brenton Bersin,Panthers,69,WR,NA,2018
Breshad Perriman,Ravens,70,WR,8,2017
Breshad Perriman,Ravens,73,WR,5,2016
Breshad Perriman,Ravens,74,WR,NA,2018
Bret Lockett,Jets,66,DB,8,2014
Brett Brackett,Titans,63,WR,2,2015
Brett Brackett,Jaguars,60,WR,4,2014
Brett Brackett,Eagles,54,WR,4,2013
Brett Goode,Packers,62,OL,10,2016
Brett Goode,Packers,62,OL,12,2015
Brett Goode,Packers,63,OL,8.5,2014
Brett Goode,Packers,63,OL,11,2013
Brett Hundley,Packers,70,QB,10,2017
Brett Hundley,Packers,70,QB,10,2016
Brett Hundley,Packers,69,QB,NA,2018
Brett Jones,Giants,64,OL,NA,2018
Brett Keisel,Steelers,77,DL,11,2015
Brett Keisel,Steelers,83,DL,8,2014
Brett Keisel,Steelers,87,DL,8,2013
Brett Kern,Titans,85,FALSE,9,2017
Brett Kern,Titans,88,FALSE,3,2016
Brett Kern,Titans,87,FALSE,2,2015
Brett Kern,Titans,82,FALSE,7,2014
Brett Kern,Titans,68,FALSE,6,2013
Brett Kern,Titans,78,FALSE,NA,2018
Brett Ratliff,Buccaneers,63,QB,7,2013
Brett Roy,Jets,61,DL,6,2013
Brett Swain,Seahawks,66,WR,13,2014
Brett Swain,49ers,64,WR,11.5,2013
Brian Allen,Steelers,65,DB,NA,2018
Brian Banks,Falcons,57,LB,4,2014
Brian Cushing,Texans,81,LB,9,2017
Brian Cushing,Texans,82,LB,9,2016
Brian Cushing,Texans,86,LB,9,2015
Brian Cushing,Texans,90,LB,2,2014
Brian Cushing,Texans,93,LB,12,2013
Brian Cushing,Texans,78,LB,NA,2018
Brian De La Puente,Bears,80,OL,5,2015
Brian De La Puente,Saints,91,OL,11,2014
Brian De La Puente,Saints,80,OL,7,2013
Brian Dixon,Saints,66,DB,7,2017
Brian Dixon,Saints,67,DB,7,2016
Brian Dixon,Saints,65,DB,7,2015
Brian Dixon,Jaguars,65,DB,NA,2018
Brian Folkerts,Rams,67,OL,4,2017
Brian Folkerts,Panthers,67,OL,15,2016
Brian Folkerts,Panthers,67,OL,7.5,2015
Brian Hartline,Browns,78,WR,3,2016
Brian Hartline,Dolphins,78,WR,8,2015
Brian Hartline,Dolphins,81,WR,8,2014
Brian Hartline,Dolphins,77,WR,7,2013
Brian Hill,Falcons,72,HB,NA,2018
Brian Hoyer,Bears,73,QB,3,2017
Brian Hoyer,Texans,73,QB,9,2016
Brian Hoyer,Browns,76,QB,7,2015
Brian Hoyer,Browns,71,QB,4,2014
Brian Hoyer,Patriots,73,QB,12,2013
Brian Hoyer,49ers,75,QB,NA,2018
Brian Jennings,49ers,64,WR,12,2014
Brian Jennings,49ers,61,WR,11.5,2013
Brian Leonard,Buccaneers,73,HB,4,2014
Brian Leonard,Bengals,73,HB,10,2013
Brian Leonhardt,Vikings,66,WR,8,2017
Brian Leonhardt,Raiders,72,WR,7,2016
Brian Leonhardt,Raiders,72,WR,3,2015
Brian Linthicum,Jets,62,WR,6,2013
Brian Mihalik,Steelers,65,OL,11,2017
Brian Mihalik,Eagles,58,DL,7,2016
Brian Mihalik,Steelers,65,OL,NA,2018
Brian Moorman,Steelers,77,FALSE,8,2014
Brian Moorman,Bills,88,FALSE,6,2013
Brian Orakpo,Titans,87,LB,9,2017
Brian Orakpo,Titans,87,LB,3,2016
Brian Orakpo,Redskins,89,LB,4,2015
Brian Orakpo,Redskins,90,LB,3,2014
Brian Orakpo,Redskins,91,LB,10,2013
Brian Orakpo,Titans,85,LB,NA,2018
Brian Parker,Chiefs,65,WR,12,2017
Brian Parker,Jets,65,WR,NA,2018
Brian Peters,Texans,61,LB,9,2017
Brian Peters,Texans,61,LB,NA,2018
Brian Poole,Falcons,60,DB,11,2017
Brian Poole,Falcons,76,DB,NA,2018
Brian Price,Packers,59,DL,10,2017
Brian Price,Buccaneers,74,DL,7,2013
Brian Price,Packers,57,DL,NA,2018
Brian Quick,Rams,74,WR,4,2017
Brian Quick,Rams,79,WR,7,2016
Brian Quick,Rams,79,WR,6,2015
Brian Quick,Rams,73,WR,7,2014
Brian Quick,Rams,70,WR,7.5,2013
Brian Quick,Redskins,77,WR,NA,2018
Brian Robiskie,Jaguars,67,WR,2,2013
Brian Robison,Vikings,79,DL,8,2017
Brian Robison,Vikings,82,DL,11,2016
Brian Robison,Vikings,81,DL,7,2015
Brian Robison,Vikings,87,DL,5.5,2014
Brian Robison,Vikings,86,DL,10,2013
Brian Robison,Vikings,80,DL,NA,2018
Brian Rolle,Steelers,68,LB,8,2014
Brian Rolle,Eagles,71,LB,4,2013
Brian Sanford,Browns,64,DL,4,2014
Brian Sanford,Browns,65,DL,5,2013
Brian Schaefering,Browns,66,DL,5,2013
Brian Schwenke,Titans,71,OL,9,2017
Brian Schwenke,Titans,72,OL,3,2016
Brian Schwenke,Titans,70,OL,2,2015
Brian Schwenke,Titans,71,OL,7,2014
Brian Schwenke,Colts,74,OL,NA,2018
Brian Smith,Bills,61,LB,6,2014
Brian Tyms,Patriots,70,WR,12,2016
Brian Tyms,Patriots,69,WR,12,2015
Brian Tyms,Dolphins,57,WR,8,2014
Brian Urlacher,Bears,95,LB,10,2013
Brian Waters,Patriots,91,OL,12,2013
Brian Winters,Jets,70,OL,5,2017
Brian Winters,Jets,69,OL,10,2016
Brian Winters,Jets,67,OL,4,2015
Brian Winters,Jets,72,OL,8,2014
Brian Winters,Jets,78,OL,NA,2018
Brice Butler,Cowboys,71,WR,13,2017
Brice Butler,Raiders,73,WR,7,2016
Brice Butler,Raiders,71,WR,3,2015
Brice Butler,Raiders,59,WR,4,2014
Brice Butler,Cowboys,74,WR,NA,2018
Brice McCain,Titans,78,DB,9,2017
Brice McCain,Dolphins,76,DB,6,2016
Brice McCain,Steelers,73,DB,11,2015
Brice McCain,Texans,76,DB,2,2014
Brice McCain,Texans,73,DB,12,2013
Brice McCain,Titans,78,DB,NA,2018
Briean Boddy-Calhoun,Browns,71,DB,NA,2018
Brit Miller,Rams,65,FALSE,7.5,2013
Brittan Golden,Cardinals,62,WR,7.5,2017
Brittan Golden,Cardinals,64,WR,13,2016
Brittan Golden,Cardinals,65,WR,11,2015
Brittan Golden,Cardinals,63,WR,NA,2018
Britton Colquitt,Broncos,80,FALSE,9,2017
Britton Colquitt,Broncos,76,FALSE,12,2016
Britton Colquitt,Broncos,75,FALSE,12,2015
Britton Colquitt,Broncos,81,FALSE,13,2014
Britton Colquitt,Broncos,81,FALSE,13,2013
Britton Colquitt,Browns,76,FALSE,NA,2018
Brock Bolen,Jaguars,74,FALSE,2,2013
Brock Coyle,Seahawks,66,LB,10.5,2017
Brock Coyle,Seahawks,66,LB,10,2016
Brock Coyle,Seahawks,61,LB,12,2015
Brock Coyle,49ers,68,LB,NA,2018
Brock Osweiler,Texans,77,QB,9,2017
Brock Osweiler,Broncos,73,QB,12,2016
Brock Osweiler,Broncos,73,QB,12,2015
Brock Osweiler,Broncos,73,QB,13,2014
Brock Osweiler,Broncos,69,QB,13,2013
Brock Osweiler,Browns,75,QB,NA,2018
Brock Vereen,Patriots,70,DB,14,2017
Brock Vereen,Bears,75,DB,6,2016
Brock Vereen,Bears,71,DB,5,2015
Brodney Pool,Cowboys,76,DB,8,2013
Brodrick Bunkley,Saints,80,DL,7,2016
Brodrick Bunkley,Saints,77,DL,7,2015
Brodrick Bunkley,Saints,82,DL,11,2014
Brodrick Bunkley,Saints,88,DL,7,2013
Brody Eldridge,Bears,65,WR,8,2014
Brody Eldridge,Rams,65,WR,7.5,2013
Bronson Kaufusi,Ravens,69,DL,8,2017
Bronson Kaufusi,Ravens,69,DL,NA,2018
Bront Bird,Chargers,62,LB,9,2014
Bront Bird,Chargers,58,LB,7,2013
Brooks Ellis,Patriots,60,LB,NA,2018
Brooks Reed,Falcons,76,LB,11,2017
Brooks Reed,Falcons,80,LB,8,2016
Brooks Reed,Texans,79,LB,9,2015
Brooks Reed,Texans,79,LB,2,2014
Brooks Reed,Texans,79,LB,12,2013
Brooks Reed,Falcons,76,DL,NA,2018
Bruce Campbell,Panthers,69,OL,12,2014
Bruce Campbell,Panthers,69,OL,7,2013
Bruce Carter,Jets,73,LB,5,2017
Bruce Carter,Buccaneers,78,LB,6,2016
Bruce Carter,Cowboys,79,LB,12,2015
Bruce Carter,Cowboys,81,LB,8,2014
Bruce Carter,Cowboys,70,LB,8,2013
Bruce Carter,Jets,72,LB,NA,2018
Bruce Ellington,49ers,69,WR,2,2017
Bruce Ellington,49ers,68,WR,5,2016
Bruce Ellington,49ers,69,WR,8,2015
Bruce Ellington,49ers,71,WR,NA,2018
Bruce Gaston,Packers,63,DL,10,2016
Bruce Gaston,Packers,55,DL,12,2015
Bruce Gaston,Lions,68,DL,NA,2018
Bruce Gradkowski,Steelers,69,QB,11,2017
Bruce Gradkowski,Steelers,74,QB,10,2016
Bruce Gradkowski,Steelers,73,QB,11,2015
Bruce Gradkowski,Steelers,73,QB,8,2014
Bruce Gradkowski,Bengals,73,QB,10,2013
Bruce Irvin,Raiders,81,LB,12,2017
Bruce Irvin,Seahawks,84,LB,10,2016
Bruce Irvin,Seahawks,84,LB,12,2015
Bruce Irvin,Seahawks,79,DL,13,2014
Bruce Irvin,Seahawks,74,DL,11,2013
Bruce Irvin,Raiders,84,LB,NA,2018
Bruce Johnson,Giants,74,DB,9,2013
Bruce Miller,49ers,77,FALSE,2,2017
Bruce Miller,49ers,88,FALSE,5,2016
Bruce Miller,49ers,88,FALSE,8,2015
Bruce Miller,49ers,88,FALSE,12,2014
Bruce Miller,49ers,77,FALSE,11.5,2013
Bryan Anger,Buccaneers,82,FALSE,9,2017
Bryan Anger,Jaguars,86,FALSE,5,2016
Bryan Anger,Jaguars,82,FALSE,3,2015
Bryan Anger,Jaguars,78,FALSE,4,2014
Bryan Anger,Jaguars,64,FALSE,2,2013
Bryan Anger,Buccaneers,85,FALSE,NA,2018
Bryan Bennett,Colts,60,QB,8,2016
Bryan Braman,Eagles,71,DL,7,2017
Bryan Braman,Eagles,72,LB,7,2016
Bryan Braman,Eagles,71,LB,10,2015
Bryan Braman,Texans,68,LB,2,2014
Bryan Braman,Texans,60,LB,12,2013
Bryan Bulaga,Packers,79,OL,10,2017
Bryan Bulaga,Packers,87,OL,10,2016
Bryan Bulaga,Packers,89,OL,12,2015
Bryan Bulaga,Packers,82,OL,8.5,2014
Bryan Bulaga,Packers,89,OL,11,2013
Bryan Bulaga,Packers,86,OL,NA,2018
Bryan Cox Jr,Panthers,64,DL,NA,2018
Bryan Hall,Ravens,56,LB,8,2014
Bryan Hall,Ravens,56,DL,10,2013
Bryan Kehl,Redskins,66,LB,3,2014
Bryan Kehl,Redskins,66,LB,10,2013
Bryan Mattison,Rams,73,OL,7.5,2013
Bryan McCann,Cardinals,66,DB,10,2014
Bryan McCann,Raiders,63,DB,4,2013
Bryan Scott,Bills,73,LB,6,2014
Bryan Scott,Bills,77,DB,6,2013
Bryan Stork,Patriots,73,OL,14,2017
Bryan Stork,Patriots,78,OL,12,2016
Bryan Stork,Patriots,76,OL,12,2015
Bryan Thomas,Jets,79,LB,6,2013
Bryan Walters,Jaguars,70,WR,3,2017
Bryan Walters,Jaguars,65,WR,5,2016
Bryan Walters,Seahawks,64,WR,12,2015
Bryan Walters,Seahawks,60,WR,13,2014
Bryan Walters,Vikings,58,WR,10,2013
Bryan Witzmann,Cowboys,66,OL,13,2017
Bryan Witzmann,Texans,68,OL,9,2016
Bryan Witzmann,Chiefs,66,OL,NA,2018
Bryant Browning,Steelers,69,OL,11,2015
Bryant Browning,Giants,63,OL,7,2014
Bryant Browning,Panthers,61,OL,7,2013
Bryant McKinnie,Ravens,81,OL,8,2014
Bryant McKinnie,Ravens,84,OL,10,2013
Bryce Brown,Bills,72,HB,8,2016
Bryce Brown,Bills,76,HB,9,2015
Bryce Brown,Eagles,77,HB,10,2014
Bryce Brown,Eagles,63,HB,4,2013
Bryce Callahan,Bears,69,DB,3,2017
Bryce Callahan,Bears,66,DB,6,2016
Bryce Callahan,Bears,76,DB,NA,2018
Bryce Hager,Rams,60,LB,4,2017
Bryce Hager,Rams,63,LB,7,2016
Bryce Hager,Rams,60,LB,NA,2018
Bryce Harris,Falcons,73,OL,11,2017
Bryce Harris,Saints,71,OL,7,2016
Bryce Harris,Saints,63,OL,7,2015
Bryce Harris,Saints,66,OL,11,2014
Bryce Petty,Jets,65,QB,5,2017
Bryce Petty,Jets,70,QB,10,2016
Bryce Petty,Jets,69,QB,NA,2018
Bryce Quigley,Redskins,67,OL,9,2016
Bryce Treggs,Eagles,61,WR,NA,2018
Bryn Renner,Ravens,65,QB,5,2016
Brynden Trawick,Raiders,63,DB,12,2017
Brynden Trawick,Ravens,65,DB,5,2016
Brynden Trawick,Ravens,66,DB,10,2015
Brynden Trawick,Titans,68,DB,NA,2018
Bryson Albright,Bengals,60,LB,NA,2018
Bubba Ventrone,49ers,70,DB,8,2015
Bucky Hodges,Vikings,71,WR,NA,2018
Bud Dupree,Steelers,70,LB,11,2017
Bud Dupree,Steelers,73,LB,10,2016
Bud Dupree,Steelers,75,LB,NA,2018
Budda Baker,Cardinals,74,DB,NA,2018
Bug Howard,Colts,64,WR,NA,2018
Busta Anderson,49ers,64,WR,2,2017
Busta Anderson,49ers,64,WR,5,2016
Buster Skrine,Jets,75,DB,5,2017
Buster Skrine,Jets,78,DB,10,2016
Buster Skrine,Browns,76,DB,7,2015
Buster Skrine,Browns,74,DB,4,2014
Buster Skrine,Browns,70,DB,5,2013
Buster Skrine,Jets,76,DB,NA,2018
Byron Bell,Titans,70,OL,9,2017
Byron Bell,Titans,73,OL,3,2016
Byron Bell,Panthers,63,OL,7.5,2015
Byron Bell,Panthers,73,OL,12,2014
Byron Bell,Panthers,71,OL,7,2013
Byron Bell,Cowboys,71,OL,NA,2018
Byron Jones,Cowboys,81,DB,13,2017
Byron Jones,Cowboys,73,DB,4,2016
Byron Jones,Cowboys,84,DB,NA,2018
Byron Leftwich,Steelers,75,QB,8,2013
Byron Marshall,Eagles,62,HB,7,2017
Byron Marshall,Eagles,54,WR,NA,2018
Byron Maxwell,Dolphins,76,DB,10,2017
Byron Maxwell,Eagles,84,DB,7,2016
Byron Maxwell,Seahawks,83,DB,12,2015
Byron Maxwell,Seahawks,70,DB,13,2014
Byron Maxwell,Seahawks,66,DB,11,2013
Byron Maxwell,Dolphins,85,DB,NA,2018
Byron Stingily,Giants,69,OL,11,2017
Byron Stingily,Titans,74,OL,3,2016
Byron Stingily,Titans,72,OL,2,2015
Byron Stingily,Titans,69,OL,7,2014
Byron Stingily,Titans,62,OL,6,2013
C.J. Anderson,Broncos,84,HB,9,2017
C.J. Anderson,Broncos,85,HB,12,2016
C.J. Anderson,Broncos,85,HB,12,2015
